1;1;90
1;2;90
1;3;90
1;4;90
1;5;90
1;6;90
1;7;90
1;8;90
1;9;90
1;10;90
1;11;90
1;12;90
1;13;90
1;14;90
1;15;90
1;16;90
1;17;90
1;18;90
1;19;90
1;20;90
1;21;90
1;22;90
2;1;90
2;2;90
2;3;90
2;4;90
2;5;90
2;6;90
2;7;90
2;8;90
2;9;90
2;10;90
2;11;90
2;12;90
2;13;90
2;14;90
2;15;90
2;16;90
2;17;90
2;18;90
2;19;90
2;20;90
2;21;90
2;22;90
3;1;90
3;2;90
3;3;90
3;4;90
3;5;90
3;6;90
3;7;90
3;8;90
3;9;90
3;10;90
3;11;90
3;12;90
3;13;90
3;14;90
3;15;90
3;16;90
3;17;90
3;18;90
3;19;90
3;20;90
3;21;90
3;22;90
4;1;90
4;2;90
4;3;90
4;4;90
4;5;90
4;6;90
4;7;90
4;8;90
4;9;90
4;10;90
4;11;90
4;12;90
4;13;90
4;14;90
4;15;90
4;16;90
4;17;90
4;18;90
4;19;90
4;20;90
4;21;90
4;22;90
